,0
Glucose,0.2584615143273299
BMI,0.18005866830746461
Age,0.1444147326554017
DiabetesPedigreeFunction,0.10623621396475477
BloodPressure,0.0901738308011341
Pregnancies,0.07864037683282249
SkinThickness,0.07231480366211475
Insulin,0.06969985944897782
